Data,Taxa de câmbio - R$ / US$ - comercial - compra - média - R$ - Banco Central do Brasil- Boletim- Seção Balanço de Pagamentos (Bacen / Boletim / BP) - BM12_ERC12,
2017.03,3.12733043478261,
2017.04,3.13557222222222,
2017.05,3.20870454545455,
2017.06,3.29476666666667,
2017.07,3.2055380952381,
2017.08,3.15031304347826,
2017.09,3.13419,
2017.10,3.1906380952381,
2017.11,3.258735,
2017.12,3.29131,
2018.01,3.20998636363636,
2018.02,3.24090555555556,
2018.03,3.27861428571429,
2018.04,3.4069,
2018.05,3.63546190476191,
2018.06,3.77257142857143,
2018.07,3.82813636363636,
2018.08,3.92915652173913,
2018.09,4.11594736842105,
2018.10,3.75780454545455,
2018.11,3.786015,
2018.12,3.88213636363636,
2019.01,3.74105454545455,
2019.02,3.723025,
2019.03,3.84588421052632,
2019.04,3.89555714285714,
2019.05,4.00091818181818,
2019.06,3.85822631578947,
2019.07,3.77871304347826,
2019.08,4.01938181818182,
2019.09,4.1209,
2019.10,4.08638695652174,
2019.11,4.154725,
2019.12,4.10892380952381,
2020.01,4.14886363636364,
2020.02,4.34041111111111,
2020.03,4.88321818181818,
2020.04,5.324985,
2020.05,5.64285,
2020.06,5.19599523809524,
2020.07,5.27959565217391,
2020.08,5.46063333333333,
2020.09,5.39888095238095,
2020.10,5.62519047619048,
2020.11,5.417235,
2020.12,5.14494545454545,
2021.01,5.3556,
2021.02,5.41589444444444,
2021.03,5.64554782608696,
2021.04,5.561535,
2021.05,5.29044761904762,
2021.06,5.03130476190476,
2021.07,5.15602727272727,
2021.08,5.25112272727273,
2021.09,5.27909047619048,
2021.10,5.539375,
2021.11,5.55626,
2021.12,5.65060434782609,
2022.01,5.53350476190476,
2022.02,5.19597894736842,
2022.03,4.96778181818182,
2022.04,4.75741578947368,
2022.05,4.95445,
2022.06,5.04860952380952,
2022.07,5.36747619047619,
2022.08,5.14269565217391,
2022.09,5.23635714285714,
2022.10,5.249695,
2022.11,5.274055,
2022.12,5.24183181818182,
2023.01,5.20008181818182,
2023.02,5.17108888888889,
2023.03,5.21086086956522,
2023.04,5.01913333333333,
2023.05,4.98224090909091,
2023.06,4.85096666666667,
2023.07,4.80023333333333,
2023.08,4.90412083333333,
2023.09,4.93639,
2023.10,5.06424285714286,
2023.11,4.897735,
2023.12,4.89664,
2024.01,4.91379545454545,
2024.02,4.96378947368421,
2024.03,4.979535,
2024.04,5.12848636363636,
